stop1;stop2;temps
StopPoint:OCETGV INOUI-87393579;StopPoint:OCETGV INOUI-87723197;299
StopPoint:OCETGV INOUI-87686006;StopPoint:OCETGV INOUI-87763029;136
StopPoint:OCETGV INOUI-87773200;StopPoint:OCETGV INOUI-87781278;253
StopPoint:OCETGV INOUI-87781278;StopPoint:OCETGV INOUI-87781005;268
StopPoint:OCETGV INOUI-87781005;StopPoint:OCETGV INOUI-87781104;285
StopPoint:OCETGV INOUI-87781104;StopPoint:OCETGV INOUI-87784009;316
StopPoint:OCETGV INOUI-87784009;StopPoint:OCETGV INOUI-87781104;38
StopPoint:OCETGV INOUI-87713131;StopPoint:OCETGV INOUI-87713040;101
StopPoint:OCETGV INOUI-87755629;StopPoint:OCETGV INOUI-87755009;18
StopPoint:OCETGV INOUI-87761007;StopPoint:OCETGV INOUI-87764001;178
StopPoint:OCETGV INOUI-87764001;StopPoint:OCETGV INOUI-87765107;207
StopPoint:OCETGV INOUI-87765107;StopPoint:OCETGV INOUI-87765008;222
StopPoint:OCETGV INOUI-87765008;StopPoint:OCETGV INOUI-87753657;245
StopPoint:OCETGV INOUI-87753657;StopPoint:OCETGV INOUI-87753004;262
StopPoint:OCETGV INOUI-87753004;StopPoint:OCETGV INOUI-87753657;21
StopPoint:OCETGV INOUI-87747006;StopPoint:OCETGV INOUI-87762906;121
StopPoint:OCETGV INOUI-87741009;StopPoint:OCETGV INOUI-87741306;228
StopPoint:OCETGV INOUI-87741306;StopPoint:OCETGV INOUI-87742320;241
StopPoint:OCETGV INOUI-87742320;StopPoint:OCETGV INOUI-87742361;250
StopPoint:OCETGV INOUI-87742361;StopPoint:OCETGV INOUI-87742320;15
StopPoint:OCETGV INOUI-87741645;StopPoint:OCETGV INOUI-87741728;267
StopPoint:OCETGV INOUI-87741728;StopPoint:OCETGV INOUI-87741769;287
StopPoint:OCETGV INOUI-87741769;StopPoint:OCETGV INOUI-87741777;300
StopPoint:OCETGV INOUI-87741777;StopPoint:OCETGV INOUI-87741793;307
StopPoint:OCETGV INOUI-87741793;StopPoint:OCETGV INOUI-87741777;9
StopPoint:OCETGV INOUI-87745000;StopPoint:OCETGV INOUI-87745497;247
StopPoint:OCETGV INOUI-87745497;StopPoint:OCETGV INOUI-87746370;281
StopPoint:OCETGV INOUI-87746370;StopPoint:OCETGV INOUI-87746438;295
StopPoint:OCETGV INOUI-87746438;StopPoint:OCETGV INOUI-87746479;302
StopPoint:OCETGV INOUI-87746479;StopPoint:OCETGV INOUI-87746438;9
StopPoint:OCETGV INOUI-87745646;StopPoint:OCETGV INOUI-87745679;287
StopPoint:OCETGV INOUI-87745679;StopPoint:OCETGV INOUI-87745646;13
StopPoint:OCETGV INOUI-87694109;StopPoint:OCETGV INOUI-87723197;130
StopPoint:OCETGV INOUI-87725705;StopPoint:OCETGV INOUI-87694109;66
StopPoint:OCETGV INOUI-87726000;StopPoint:OCETGV INOUI-87723197;49
StopPoint:OCETGV INOUI-87713412;StopPoint:OCETGV INOUI-87718007;155
StopPoint:OCETGV INOUI-87718007;StopPoint:OCETGV INOUI-87713412;25
StopPoint:OCETGV INOUI-87751081;StopPoint:OCETGV INOUI-87755009;163
StopPoint:OCETGV INOUI-87615286;StopPoint:OCETGV INOUI-87611004;264
StopPoint:OCETGV INOUI-87611004;StopPoint:OCETGV INOUI-87615286;46
StopPoint:OCETGV INOUI-87741132;StopPoint:OCETGV INOUI-87746008;222
StopPoint:OCETGV INOUI-87746008;StopPoint:OCETGV INOUI-87741132;28
StopPoint:OCETGV INOUI-87343004;StopPoint:OCETGV INOUI-87345009;36
StopPoint:OCETGV INOUI-87345025;StopPoint:OCETGV INOUI-87345009;99
StopPoint:OCETGV INOUI-87286542;StopPoint:OCETGV INOUI-87286732;5
StopPoint:OCETGV INOUI-87286732;StopPoint:OCETGV INOUI-87286716;10
StopPoint:OCETGV INOUI-87286716;StopPoint:OCETGV INOUI-87286005;31
StopPoint:OCETGV INOUI-87281006;StopPoint:OCETGV INOUI-87223263;46
StopPoint:OCETGV INOUI-87286302;StopPoint:OCETGV INOUI-87342006;47
StopPoint:OCETGV INOUI-87342006;StopPoint:OCETGV INOUI-87345025;61
StopPoint:OCETGV INOUI-87317586;StopPoint:OCETGV INOUI-87281071;36
StopPoint:OCETGV INOUI-87281071;StopPoint:OCETGV INOUI-87223263;71
StopPoint:OCETGV INOUI-87317057;StopPoint:OCETGV INOUI-87317065;10
StopPoint:OCETGV INOUI-87317065;StopPoint:OCETGV INOUI-87317586;28
StopPoint:OCEOUIGO-87391003;StopPoint:OCEOUIGO-87471003;94
StopPoint:OCEOUIGO-87471003;StopPoint:OCEOUIGO-87473009;141
StopPoint:OCEOUIGO-87473009;StopPoint:OCEOUIGO-87473207;159
StopPoint:OCEOUIGO-87473207;StopPoint:OCEOUIGO-87474338;190
StopPoint:OCEOUIGO-87474338;StopPoint:OCEOUIGO-87474007;224
StopPoint:OCEOUIGO-87474007;StopPoint:OCEOUIGO-87474338;33
StopPoint:OCEOUIGO-87396002;StopPoint:OCEOUIGO-87478404;92
StopPoint:OCEOUIGO-87478404;StopPoint:OCEOUIGO-87471003;121
StopPoint:OCEOUIGO-87476606;StopPoint:OCEOUIGO-87476200;195
StopPoint:OCEOUIGO-87476200;StopPoint:OCEOUIGO-87476002;214
StopPoint:OCEOUIGO-87476002;StopPoint:OCEOUIGO-87474098;250
StopPoint:OCEOUIGO-87474098;StopPoint:OCEOUIGO-87476002;36
StopPoint:OCEOUIGO-87484006;StopPoint:OCEOUIGO-87481002;137
StopPoint:OCEOUIGO-87481002;StopPoint:OCEOUIGO-87484006;40
StopPoint:OCEOUIGO-87575001;StopPoint:OCEOUIGO-87485300;136
StopPoint:OCEOUIGO-87485300;StopPoint:OCEOUIGO-87485227;157
StopPoint:OCEOUIGO-87485227;StopPoint:OCEOUIGO-87485003;181
StopPoint:OCEOUIGO-87485003;StopPoint:OCEOUIGO-87485227;21
StopPoint:OCEOUIGO-87581009;StopPoint:OCEOUIGO-87583005;39
StopPoint:OCEOUIGO-87583005;StopPoint:OCEOUIGO-87575001;91
StopPoint:OCEOUIGO-87571240;StopPoint:OCEOUIGO-87581009;143
