stop1;stop2;temps
StopPoint:OCEINTERCITES de nuit-87611244;StopPoint:OCEINTERCITES de nuit-87613356;48
StopPoint:OCEINTERCITES de nuit-87613356;StopPoint:OCEINTERCITES de nuit-87613000;79
StopPoint:OCEINTERCITES de nuit-87613000;StopPoint:OCEINTERCITES de nuit-87613141;106
StopPoint:OCEINTERCITES de nuit-87613141;StopPoint:OCEINTERCITES de nuit-87594333;123
StopPoint:OCEINTERCITES de nuit-87594333;StopPoint:OCEINTERCITES de nuit-87543017;451
StopPoint:OCEINTERCITES de nuit-87613422;StopPoint:OCEINTERCITES de nuit-87613257;30
StopPoint:OCEINTERCITES de nuit-87613257;StopPoint:OCEINTERCITES de nuit-87613232;43
StopPoint:OCEINTERCITES de nuit-87613232;StopPoint:OCEINTERCITES de nuit-87613224;47
StopPoint:OCEINTERCITES de nuit-87613224;StopPoint:OCEINTERCITES de nuit-87613661;52
StopPoint:OCEINTERCITES de nuit-87613661;StopPoint:OCEINTERCITES de nuit-87613109;70
StopPoint:OCEINTERCITES de nuit-87613109;StopPoint:OCEINTERCITES de nuit-87613091;79
StopPoint:OCEINTERCITES de nuit-87613091;StopPoint:OCEINTERCITES de nuit-87613075;96
StopPoint:OCEINTERCITES de nuit-87613075;StopPoint:OCEINTERCITES de nuit-87613059;110
StopPoint:OCEINTERCITES de nuit-87613059;StopPoint:OCEINTERCITES de nuit-87613042;117
StopPoint:OCEINTERCITES de nuit-87613042;StopPoint:OCEINTERCITES de nuit-87594572;134
StopPoint:OCEINTERCITES de nuit-87594572;StopPoint:OCEINTERCITES de nuit-87547000;594
StopPoint:OCEINTERCITES de nuit-87615005;StopPoint:OCEINTERCITES de nuit-87615195;5
StopPoint:OCEINTERCITES de nuit-87615195;StopPoint:OCEINTERCITES de nuit-87615625;23
StopPoint:OCEINTERCITES de nuit-87615625;StopPoint:OCEINTERCITES de nuit-87615732;51
StopPoint:OCEINTERCITES de nuit-87615732;StopPoint:OCEINTERCITES de nuit-87613422;107
StopPoint:OCEINTERCITES de nuit-87594762;StopPoint:OCEINTERCITES de nuit-87645135;698
StopPoint:OCEINTERCITES de nuit-87645135;StopPoint:OCEINTERCITES de nuit-87645002;723
StopPoint:OCEINTERCITES de nuit-87645002;StopPoint:OCEINTERCITES de nuit-87645135;23
StopPoint:OCEINTERCITES-87481002;StopPoint:OCEINTERCITES-87486019;41
StopPoint:OCEINTERCITES-87486019;StopPoint:OCEINTERCITES-87486258;65
StopPoint:OCEINTERCITES-87486258;StopPoint:OCEINTERCITES-87485003;108
StopPoint:OCEINTERCITES-87485003;StopPoint:OCEINTERCITES-87485144;130
StopPoint:OCEINTERCITES-87485144;StopPoint:OCEINTERCITES-87491001;159
StopPoint:OCEINTERCITES-87491001;StopPoint:OCEINTERCITES-87491142;196
StopPoint:OCEINTERCITES-87491142;StopPoint:OCEINTERCITES-87581009;252
StopPoint:OCEINTERCITES-87581009;StopPoint:OCEINTERCITES-87491142;48
StopPoint:OCEINTERCITES de nuit-87611483;StopPoint:OCEINTERCITES de nuit-87611509;16
StopPoint:OCEINTERCITES de nuit-87611509;StopPoint:OCEINTERCITES de nuit-87611517;26
StopPoint:OCEINTERCITES de nuit-87611517;StopPoint:OCEINTERCITES de nuit-87611525;43
StopPoint:OCEINTERCITES de nuit-87611525;StopPoint:OCEINTERCITES de nuit-87611533;58
StopPoint:OCEINTERCITES de nuit-87611533;StopPoint:OCEINTERCITES de nuit-87611558;67
StopPoint:OCEINTERCITES de nuit-87611558;StopPoint:OCEINTERCITES de nuit-87611574;75
StopPoint:OCEINTERCITES de nuit-87611574;StopPoint:OCEINTERCITES de nuit-87611590;88
StopPoint:OCEINTERCITES de nuit-87611590;StopPoint:OCEINTERCITES de nuit-87611616;105
StopPoint:OCEINTERCITES de nuit-87611616;StopPoint:OCEINTERCITES de nuit-87611343;118
StopPoint:OCEINTERCITES de nuit-87611343;StopPoint:OCEINTERCITES de nuit-87611368;134
StopPoint:OCEINTERCITES de nuit-87611368;StopPoint:OCEINTERCITES de nuit-87611384;151
StopPoint:OCEINTERCITES de nuit-87611384;StopPoint:OCEINTERCITES de nuit-87543017;629
StopPoint:OCEOUIGO-87547000;StopPoint:OCEOUIGO-87545244;15
StopPoint:OCEOUIGO-87545244;StopPoint:OCEOUIGO-87543017;66
StopPoint:OCEOUIGO-87543017;StopPoint:OCEOUIGO-87571240;146
StopPoint:OCEOUIGO-87571240;StopPoint:OCEOUIGO-87324095;201
StopPoint:OCEOUIGO-87324095;StopPoint:OCEOUIGO-87575001;211
StopPoint:OCEOUIGO-87575001;StopPoint:OCEOUIGO-87583005;267
StopPoint:OCEOUIGO-87583005;StopPoint:OCEOUIGO-87581009;338
StopPoint:OCEOUIGO-87581009;StopPoint:OCEOUIGO-87583005;73
StopPoint:OCEOUIGO-87574004;StopPoint:OCEOUIGO-87571240;132
StopPoint:OCEOUIGO-87484006;StopPoint:OCEOUIGO-87481002;230
StopPoint:OCEOUIGO-87686667;StopPoint:OCEOUIGO-87545244;18
StopPoint:OCEOUIGO-87487603;StopPoint:OCEOUIGO-87484006;196
StopPoint:OCEOUIGO-87481002;StopPoint:OCEOUIGO-87484006;47
StopPoint:OCEOUIGO-87396002;StopPoint:OCEOUIGO-87394007;152
StopPoint:OCEOUIGO-87394007;StopPoint:OCEOUIGO-87393009;198
StopPoint:OCEOUIGO-87393009;StopPoint:OCEOUIGO-87393579;226
StopPoint:OCEOUIGO-87393579;StopPoint:OCEOUIGO-87547000;262
StopPoint:OCEINTERCITES-87484006;StopPoint:OCEINTERCITES-87487603;66
StopPoint:OCEINTERCITES-87487603;StopPoint:OCEINTERCITES-87571240;103
StopPoint:OCEINTERCITES-87571240;StopPoint:OCEINTERCITES-87576009;173
StopPoint:OCEINTERCITES-87576207;StopPoint:OCEINTERCITES-87696005;251
StopPoint:OCEINTERCITES-87696005;StopPoint:OCEINTERCITES-87696328;281
StopPoint:OCEINTERCITES-87696328;StopPoint:OCEINTERCITES-87732206;302
StopPoint:OCEINTERCITES-87732206;StopPoint:OCEINTERCITES-87726802;342
StopPoint:OCEINTERCITES-87726802;StopPoint:OCEINTERCITES-87723197;408
StopPoint:OCEINTERCITES-87723197;StopPoint:OCEINTERCITES-87722025;416
StopPoint:OCEINTERCITES-87722025;StopPoint:OCEINTERCITES-87723197;14
StopPoint:OCEINTERCITES-87615286;StopPoint:OCEINTERCITES-87781104;76
StopPoint:OCEINTERCITES-87781104;StopPoint:OCEINTERCITES-87781005;92
StopPoint:OCEINTERCITES-87773002;StopPoint:OCEINTERCITES-87775007;159
StopPoint:OCEINTERCITES-87775007;StopPoint:OCEINTERCITES-87751008;227
StopPoint:OCEINTERCITES-87586008;StopPoint:OCEINTERCITES-87611244;102
StopPoint:OCEINTERCITES-87586545;StopPoint:OCEINTERCITES-87611244;102
StopPoint:OCEINTERCITES-87773200;StopPoint:OCEINTERCITES-87773002;270
StopPoint:OCEINTERCITES-87753657;StopPoint:OCEINTERCITES-87751008;369
StopPoint:OCEINTERCITES-87751008;StopPoint:OCEINTERCITES-87753657;49
StopPoint:OCEINTERCITES de nuit-87775007;StopPoint:OCEINTERCITES de nuit-87773002;557
StopPoint:OCEINTERCITES de nuit-87773002;StopPoint:OCEINTERCITES de nuit-87773200;578
StopPoint:OCEINTERCITES de nuit-87773200;StopPoint:OCEINTERCITES de nuit-87781278;592
StopPoint:OCEINTERCITES de nuit-87781278;StopPoint:OCEINTERCITES de nuit-87781005;609
StopPoint:OCEINTERCITES de nuit-87781005;StopPoint:OCEINTERCITES de nuit-87781104;630
