stop1;stop2;temps
StopPoint:OCETrain TER-87394171;StopPoint:OCETrain TER-87394155;47
StopPoint:OCETrain TER-87394155;StopPoint:OCETrain TER-87394148;51
StopPoint:OCETrain TER-87394148;StopPoint:OCETrain TER-87394130;56
StopPoint:OCETrain TER-87393348;StopPoint:OCETrain TER-87393314;74
StopPoint:OCETrain TER-87396333;StopPoint:OCETrain TER-87396325;118
StopPoint:OCETrain TER-87571273;StopPoint:OCETrain TER-87574343;21
StopPoint:OCETrain TER-87574194;StopPoint:OCETrain TER-87574160;60
StopPoint:OCETrain TER-87574160;StopPoint:OCETrain TER-87574137;66
StopPoint:OCETrain TER-87574137;StopPoint:OCETrain TER-87543009;79
StopPoint:OCETrain TER-87574335;StopPoint:OCETrain TER-87574343;59
StopPoint:OCETrain TER-87574368;StopPoint:OCETrain TER-87571273;71
StopPoint:OCETrain TER-87696005;StopPoint:OCETrain TER-87696328;30
StopPoint:OCETrain TER-87696328;StopPoint:OCETrain TER-87696427;49
StopPoint:OCETrain TER-87696427;StopPoint:OCETrain TER-87694869;57
StopPoint:OCETrain TER-87694869;StopPoint:OCETrain TER-87694695;72
StopPoint:OCETrain TER-87694695;StopPoint:OCETrain TER-87694687;86
StopPoint:OCETrain TER-87694687;StopPoint:OCETrain TER-87694737;108
StopPoint:OCETrain TER-87694737;StopPoint:OCETrain TER-87694778;117
StopPoint:OCETrain TER-87694778;StopPoint:OCETrain TER-87721860;138
StopPoint:OCETrain TER-87721860;StopPoint:OCETrain TER-87721787;154
StopPoint:OCETrain TER-87721787;StopPoint:OCETrain TER-87721423;164
StopPoint:OCETrain TER-87721423;StopPoint:OCETrain TER-87723197;196
StopPoint:OCETrain TER-87723197;StopPoint:OCETrain TER-87722025;204
StopPoint:OCETrain TER-87574475;StopPoint:OCETrain TER-87574491;27
StopPoint:OCETrain TER-87574491;StopPoint:OCETrain TER-87574855;34
StopPoint:OCETrain TER-87574855;StopPoint:OCETrain TER-87574897;45
StopPoint:OCETrain TER-87574897;StopPoint:OCETrain TER-87576868;55
StopPoint:OCETrain TER-87576868;StopPoint:OCETrain TER-87576876;62
StopPoint:OCETrain TER-87576876;StopPoint:OCETrain TER-87576884;68
StopPoint:OCETrain TER-87576884;StopPoint:OCETrain TER-87576009;87
StopPoint:OCETrain TER-87576009;StopPoint:OCETrain TER-87576207;106
StopPoint:OCETrain TER-87576207;StopPoint:OCETrain TER-87696005;153
StopPoint:OCETrain TER-87722025;StopPoint:OCETrain TER-87723197;13
StopPoint:OCETrain TER-87784686;StopPoint:OCETrain TER-87784702;8
StopPoint:OCETrain TER-87784702;StopPoint:OCETrain TER-87784710;10
StopPoint:OCETrain TER-87784710;StopPoint:OCETrain TER-87784728;20
StopPoint:OCETrain TER-87784728;StopPoint:OCETrain TER-87784736;25
StopPoint:OCETrain TER-87784736;StopPoint:OCETrain TER-87784744;30
StopPoint:OCETrain TER-87784744;StopPoint:OCETrain TER-87784751;36
StopPoint:OCETrain TER-87784751;StopPoint:OCETrain TER-87784769;46
StopPoint:OCETrain TER-87784769;StopPoint:OCETrain TER-87784777;54
StopPoint:OCETrain TER-87784777;StopPoint:OCETrain TER-87784785;60
StopPoint:OCETrain TER-87784785;StopPoint:OCETrain TER-87784793;73
StopPoint:OCETrain TER-87784793;StopPoint:OCETrain TER-87784801;80
StopPoint:OCETrain TER-87784801;StopPoint:OCETrain TER-87784819;99
StopPoint:OCETrain TER-87784819;StopPoint:OCETrain TER-87784827;118
StopPoint:OCETrain TER-87784827;StopPoint:OCETrain TER-87784835;126
StopPoint:OCETrain TER-87784835;StopPoint:OCETrain TER-87784843;131
StopPoint:OCETrain TER-87784843;StopPoint:OCETrain TER-87784850;137
StopPoint:OCETrain TER-87784850;StopPoint:OCETrain TER-87784868;148
StopPoint:OCETrain TER-87784868;StopPoint:OCETrain TER-87784876;158
StopPoint:OCETrain TER-87784876;StopPoint:OCETrain TER-87784884;165
StopPoint:OCETrain TER-87784884;StopPoint:OCETrain TER-87784892;172
StopPoint:OCETrain TER-87784892;StopPoint:OCETrain TER-87611483;175
StopPoint:OCETrain TER-87763003;StopPoint:OCETrain TER-87763300;22
StopPoint:OCETrain TER-87763300;StopPoint:OCETrain TER-87761874;59
StopPoint:OCETrain TER-87761874;StopPoint:OCETrain TER-87761841;77
StopPoint:OCETrain TER-87761841;StopPoint:OCETrain TER-87761817;98
StopPoint:OCETrain TER-87761817;StopPoint:OCETrain TER-87761783;112
StopPoint:OCETrain TER-87761783;StopPoint:OCETrain TER-87761247;131
StopPoint:OCETrain TER-87761247;StopPoint:OCETrain TER-87761007;145
StopPoint:OCETrain TER-87761007;StopPoint:OCETrain TER-87763029;154
StopPoint:OCETrain TER-87763029;StopPoint:OCETrain TER-87761650;162
StopPoint:OCETrain TER-87761650;StopPoint:OCETrain TER-87763029;8
StopPoint:OCETrain TER-87763425;StopPoint:OCETrain TER-87763466;219
StopPoint:OCETrain TER-87763466;StopPoint:OCETrain TER-87763508;234
StopPoint:OCETrain TER-87763508;StopPoint:OCETrain TER-87763557;247
StopPoint:OCETrain TER-87763557;StopPoint:OCETrain TER-87763607;259
StopPoint:OCETrain TER-87763607;StopPoint:OCETrain TER-87763557;12
StopPoint:OCETrain TER-87751008;StopPoint:OCETrain TER-87751826;10
StopPoint:OCETrain TER-87751826;StopPoint:OCETrain TER-87751438;26
StopPoint:OCETrain TER-87751438;StopPoint:OCETrain TER-87751420;31
StopPoint:OCETrain TER-87751420;StopPoint:OCETrain TER-87751404;44
StopPoint:OCETrain TER-87751404;StopPoint:OCETrain TER-87751370;65
StopPoint:OCETrain TER-87751370;StopPoint:OCETrain TER-87751321;89
StopPoint:OCETrain TER-87751321;StopPoint:OCETrain TER-87751271;100
StopPoint:OCETrain TER-87751271;StopPoint:OCETrain TER-87751230;113
StopPoint:OCETrain TER-87751230;StopPoint:OCETrain TER-87751206;126
StopPoint:OCETrain TER-87751206;StopPoint:OCETrain TER-87763755;141
StopPoint:OCETrain TER-87763755;StopPoint:OCETrain TER-87763722;155
StopPoint:OCETrain TER-87763722;StopPoint:OCETrain TER-87763300;172
StopPoint:OCETrain TER-87755447;StopPoint:OCETrain TER-87755009;38
StopPoint:OCETrain TER-87755009;StopPoint:OCETrain TER-87755231;46
StopPoint:OCETrain TER-87755231;StopPoint:OCETrain TER-87751784;59
StopPoint:OCETrain TER-87751784;StopPoint:OCETrain TER-87751750;75
StopPoint:OCETrain TER-87751750;StopPoint:OCETrain TER-87751008;91
StopPoint:OCETrain TER-87756056;StopPoint:OCETrain TER-87756254;7
StopPoint:OCETrain TER-87756254;StopPoint:OCETrain TER-87757674;23
StopPoint:OCETrain TER-87757674;StopPoint:OCETrain TER-87757625;37
StopPoint:OCETrain TER-87757625;StopPoint:OCETrain TER-87757526;60
StopPoint:OCETrain TER-87757526;StopPoint:OCETrain TER-87755447;76
StopPoint:OCETrain TER-87751081;StopPoint:OCETrain TER-87751750;18
StopPoint:OCETrain TER-87755371;StopPoint:OCETrain TER-87755447;97
StopPoint:OCETrain TER-87757500;StopPoint:OCETrain TER-87757526;117
StopPoint:OCETrain TER-87757591;StopPoint:OCETrain TER-87757617;142
StopPoint:OCETrain TER-87757617;StopPoint:OCETrain TER-87757625;149
StopPoint:OCETrain TER-87747006;StopPoint:OCETrain TER-87747329;12
StopPoint:OCETrain TER-87747329;StopPoint:OCETrain TER-87761759;19
StopPoint:OCETrain TER-87761759;StopPoint:OCETrain TER-87761726;29
StopPoint:OCETrain TER-87761726;StopPoint:OCETrain TER-87761718;38
StopPoint:OCETrain TER-87761718;StopPoint:OCETrain TER-87761650;57
StopPoint:OCETrain TER-87741009;StopPoint:OCETrain TER-87741181;10
StopPoint:OCETrain TER-87741181;StopPoint:OCETrain TER-87747493;18
StopPoint:OCETrain TER-87747493;StopPoint:OCETrain TER-87747402;38
StopPoint:OCETrain TER-87747402;StopPoint:OCETrain TER-87747006;50
StopPoint:OCETrain TER-87761684;StopPoint:OCETrain TER-87761650;107
StopPoint:OCETrain TER-87746008;StopPoint:OCETrain TER-87746149;18
StopPoint:OCETrain TER-87746149;StopPoint:OCETrain TER-87746115;27
StopPoint:OCETrain TER-87746115;StopPoint:OCETrain TER-87746107;35
StopPoint:OCETrain TER-87746107;StopPoint:OCETrain TER-87741132;43
StopPoint:OCETrain TER-87741132;StopPoint:OCETrain TER-87741009;57
StopPoint:OCETrain TER-87764001;StopPoint:OCETrain TER-87764308;233
StopPoint:OCETrain TER-87764308;StopPoint:OCETrain TER-87764357;240
StopPoint:OCETrain TER-87764357;StopPoint:OCETrain TER-87765107;253
StopPoint:OCETrain TER-87765107;StopPoint:OCETrain TER-87765008;270
StopPoint:OCETrain TER-87747287;StopPoint:OCETrain TER-87723478;47
StopPoint:OCETrain TER-87723478;StopPoint:OCETrain TER-87723429;57
StopPoint:OCETrain TER-87723429;StopPoint:OCETrain TER-87723395;65
StopPoint:OCETrain TER-87723395;StopPoint:OCETrain TER-87723197;84
StopPoint:OCETrain TER-87747246;StopPoint:OCETrain TER-87747287;66
StopPoint:OCETrain TER-87765008;StopPoint:OCETrain TER-87765107;16
