nom;latitude;longitude
rosieres aux salines;48.605441;6.350631
blainville   damelevieres;48.564645;6.386978
mont sur meurthe;48.559964;6.449774
luneville;48.58775;6.497139
einvaux;48.50311;6.392751
bayon;48.467655;6.322191
soulosse route nationale;48.399311;5.701625
neufchateau;48.358092;5.691036
saint clement   laronxe;48.53121;6.608298
chenevieres;48.519475;6.632684
menil   flin;48.504819;6.659707
azerailles;48.491163;6.696215
baccarat;48.452264;6.744054
bertrichamps;48.428486;6.791279
thiaville;48.413551;6.810476
houdemont;48.645432;6.179705
ludres;48.621963;6.170878
messein;48.613;6.137641
neuves maisons;48.614845;6.107949
pont saint vincent;48.602974;6.10224
blenod les toul les naux;48.59948;5.843568
bulligny centre;48.576464;5.85127
barisey la cote gare;48.535008;5.83992
pompey;48.773351;6.131393
marbache;48.801156;6.108779
belleville gare;48.819245;6.101779
dieulouard;48.843671;6.071289
pont a mousson;48.900348;6.051021
chaumont;48.109443;5.134432
langres;47.877377;5.344188
lorraine tgv;48.94743;6.170055
culmont   chalindrey;47.810202;5.443219
bologne;48.198576;5.134256
vignory;48.270175;5.123994
froncles;48.296638;5.141602
donjeux;48.36593;5.148422
vaux sous aubigny;47.657621;5.293643
vraincourt;48.237072;5.123844
epinal;48.178005;6.441787
saint die des vosges;48.28184;6.948355
docelles chenimenil gare;48.143566;6.610969
charmes;48.378483;6.301537
vincey;48.343691;6.335486
chatel   nomexy;48.307226;6.387751
igney;48.271289;6.39939
thaon;48.244715;6.415959
xertigny;48.053007;6.376761
bains les bains;47.981223;6.295195
bruyeres;48.205021;6.718908
mirecourt;48.299249;6.129464
vittel;48.202426;5.942295
contrexeville;48.179613;5.890633
martigny les bains gare;48.108946;5.82563
lamarche;48.090206;5.760194
rozieres sur mouzon;48.120611;5.705865
provencheres sur fave;48.304005;7.085104
arches gare;48.120065;6.527832
pouxeux;48.108806;6.569532
eloyes;48.08682;6.600237
remiremont;48.016536;6.598958
vecoux eglise;47.978611;6.636389
rupt sur moselle centre;47.923967;6.65992
ferdrupt ecole;47.906944;6.708333
ramonchamp pont;47.892222;6.739444
le thillot avenue de verdun;47.881667;6.761111
fresse sur moselle centre;47.875556;6.782778
saint maurice sur moselle ancienne gare;47.854722;6.818889
raon l etape;48.403729;6.836867
vagney mairie;48.009444;6.716111
etival clairefontaine;48.367202;6.876959
zainvillers maison de retraite solem;47.993889;6.716389
thiefosse mairie;47.971799;6.729788
saulxures sur moselotte lac de moselotte;47.948889;6.770833
saint michel sur meurthe;48.327463;6.887896
cornimont place pranziere;47.962778;6.8375
saint nabord;48.04618;6.581868
hielle ancienne gare;47.963611;6.634167
maxonchamp route de maxonchamp;47.945833;6.635556
dommartin eglise;47.998611;6.644444
gages le pont rn88;44.393434;2.705914
meuse tgv;48.978627;5.271874
cande;47.560172;-1.035832
blonville sur mer;49.338611;0.027778
villiers sur mer;49.315978;0.009919
houlgate;49.300278;-0.073611
maussac place de la poste;45.4713;2.1402
ferney voltaire mairie;46.256111;6.108056
gouzon champ de foire;46.1912;2.2399
ferney voltaire lycee;46.2632;6.1126
prevessin moens mairie;46.254444;6.081111
versonnex village;46.300624;6.095046
ker lann;48.043824;-1.73894
labruguiere abri bus;43.5393;2.2639
lavaur centre;43.7003;1.8206
montastruc la conseillere rn 88;43.723;1.5868
saint paul cap de joux;43.6485;1.9761
salies du salat pont;43.103521;0.959812
bachos anos;42.897857;0.625231
bagiry cimetiere;42.976236;0.625889
bertren centre;42.999107;0.618014
cazaux layrisse eglise;42.8688;0.6073
estenos pont de chaum;42.939007;0.645149
cierp gaud centre;42.914639;0.639409
cierp gaud;42.911413;0.638875
estenos mairie;42.94686;0.641429
reims;49.259121;4.023901
reims maison blanche;49.233436;4.022682
muizon;49.278117;3.891445
jonchery sur vesle;49.290057;3.819422
breuil   romain;49.308534;3.76604
fismes;49.310837;3.682323
bazancourt;49.361047;4.174044
dormans;49.079252;3.64174
epernay;49.046518;3.959852
ay champagne;49.048792;4.001655
avenay;49.064542;4.043282
germaine;49.127972;4.022788
rilly la montagne;49.166569;4.040911
val de vesle;49.178406;4.221687
prunay;49.19883;4.183555
sept saulx;49.151486;4.256493
aguilcourt   variscourt;49.408042;3.973062
courcy   brimont;49.32916;4.014961
loivre;49.346679;3.990658
guignicourt;49.434852;3.961115
amifontaine;49.484791;3.910562
saint erme;49.526624;3.857691
coucy les eppes;49.556262;3.774785
champagne ardenne tgv;49.214459;3.993588
charleville mezieres;49.767884;4.725132
nouzonville;49.812186;4.742711
joigny sur meuse;49.833368;4.767017
bogny sur meuse;49.858447;4.763378
montherme;49.86554;4.741017
deville;49.879553;4.707021
laifour;49.911497;4.692857
revin;49.938642;4.642815
fumay;49.986217;4.691999
haybes;50.011887;4.705603
vireux molhain;50.082872;4.723137
aubrives;50.104577;4.76199
givet;50.140251;4.817986
mohon;49.752641;4.733284
poix terron;49.649989;4.63645
lumes;49.733185;4.782884
nouvion sur meuse;49.696975;4.794945
vrigne meuse;49.700682;4.84307
donchery;49.698128;4.874579
sedan;49.695024;4.930373
amagne   lucquy;49.523697;4.4738
rethel;49.504393;4.369566
noyers pont maugis;49.669712;4.955197
bazeilles;49.675894;4.981865
douzy;49.671667;5.036667
pouru saint remy;49.675863;5.082955
sachy;49.669167;5.130833
carignan;49.628516;5.168416
blagny;49.620515;5.188986
linay;49.614055;5.223838
margut   fromy;49.590729;5.25752
remilly aillicourt;49.657718;4.984295
anchamps;49.930774;4.670909
fepin;50.023739;4.725746
wadelincourt;49.685278;4.940833
gouaux de luchon station vallon;42.836657;0.603529
la ferte sur chiers;49.575556;5.239722
loures barousse eglise;43.024336;0.604799
luscan pont de luscan;43.011454;0.615361
moustajon mairie;42.815115;0.597395
cier de luchon pratviel;42.844267;0.603856
siradan d825;42.966455;0.629584
chalons en champagne;48.955467;4.348962
vitry le francois;48.717913;4.587515
mourmelon le petit;49.131227;4.317726
saint ame centre;48.025;6.669722
le syndicat mairie;48.025;6.684167
saint dizier;48.642404;4.947855
revigny;48.824028;4.985558
bar le duc;48.77317;5.167809
nancois   tronville;48.717884;5.291392
joinville;48.44432;5.143322
curel;48.492222;5.135556
chevillon;48.524267;5.111825
lerouville;48.791828;5.542927
commercy;48.765966;5.588887
verdun;49.165537;5.378743
etain;49.207708;5.639486
pagny sur meuse;48.696697;5.733937
gourdan polignan lycee;43.076553;0.58441
laissac place du foiral;44.3824;2.8216
communay;45.6059;4.8489
ternay barbieres;45.597;4.7998
saint louis la chaussee;47.609445;7.53125
flaxlanden;47.698452;7.304206
walheim;47.641787;7.263157
graffenwald;47.780823;7.224791
colmar saint joseph;48.082111;7.343769
vieux thann zone industrielle;47.80216;7.13238
saint gilles lycee haut rhin;48.075353;7.260561
colmar;48.073527;7.347756
mulhouse dornach;47.746838;7.307834
mulhouse;47.7417;7.343
rixheim;47.748806;7.406139
habsheim;47.737689;7.418008
sierentz;47.656122;7.459506
bartenheim;47.634784;7.487672
saint louis;47.590609;7.555988
zillisheim;47.694341;7.294503
illfurth;47.676026;7.26818
altkirch;47.627017;7.23905
dannemarie;47.627743;7.124828
herrlisheim pres colmar;48.016572;7.320888
rouffach;47.960188;7.312529
logelbach;48.087253;7.321079
turckheim;48.085634;7.27929
walbach   la forge;48.058348;7.234282
wihr au val   soultzbach;48.046282;7.209041
gunsbach   griesbach;48.041498;7.17463
munster;48.038621;7.133568
ranspach;47.881588;7.012497
cernay;47.802;7.1737
luttenbach pres munster;48.035627;7.11959
vieux thann;47.805547;7.119893
thann;47.808795;7.106998
bitschwiller les thann;47.828153;7.078183
willer sur thur;47.842627;7.069213
moosch;47.860587;7.051081
saint amarin;47.872826;7.028768
wesserling;47.889694;6.997559
fellering;47.897331;6.98729
oderen;47.91135;6.97353
kruth;47.923447;6.969268
breitenbach;48.028831;7.104269
lutterbach;47.758214;7.276994
staffelfelden;47.827575;7.265096
bollwiller;47.856712;7.26731
raedersheim;47.886906;7.284047
merxheim;47.913189;7.302333
muhlbach sur munster;48.024535;7.087718
metzeral;48.01333;7.073338
bantzenheim;47.811541;7.505486
thann saint jacques;47.813316;7.093847
belfort ville;47.632263;6.854009
bas evette;47.680864;6.806919
trois chenes;47.647899;6.846055
petit croix;47.610099;6.994632
montreux vieux;47.61792;7.025505
meroux;47.588948;6.889871
